slot_id,day_of_week,start_time,end_time,duration_minutes,scheme,campus,slot_type,applicable_batches,max_concurrent_activities,priority_level,room_availability,teacher_availability,break_slot,lunch_slot,elective_slot,lab_preferred,rush_period,booking_status,conflict_level,utilization_rate,notes
SLOT05038,Monday,15:00,16:00,60,B,Campus-3,Afternoon Session,"B01, B02, B03, B04, B05, B06",8,High,High Demand,Peak Availability,False,False,False,True,False,Available,Medium,82,Monday 15:00-16:00 slot for B scheme
SLOT05039,Monday,16:00,17:00,60,B,Campus-3,Afternoon Session,"B01, B02, B03, B04, B05, B06",8,Low,Moderate,Peak Availability,False,False,False,True,False,Available,Low,76,Monday 16:00-17:00 slot for B scheme
SLOT05040,Monday,17:00,18:00,60,B,Campus-3,Afternoon Session,"B01, B02, B03, B04, B05, B06",6,Low,Moderate,Limited Availability,False,False,False,False,False,Available,Low,62,Monday 17:00-18:00 slot for B scheme
SLOT05041,Monday,08:00,09:00,60,B,Campus-15B,Morning Session,"B31, B32, B33, B34, B35, B36",5,Low,Moderate,Limited Availability,False,False,False,False,False,Available,Low,89,Monday 08:00-09:00 slot for B scheme
SLOT05042,Monday,09:00,10:00,60,B,Campus-15B,Morning Session,"B31, B32, B33, B34, B35, B36",5,High,Moderate,Limited Availability,False,False,False,False,False,Available,Medium,94,Monday 09:00-10:00 slot for B scheme
SLOT05043,Monday,10:00,11:00,60,B,Campus-15B,Morning Session,"B31, B32, B33, B34, B35, B36",7,High,High Demand,Peak Availability,False,False,False,True,False,Available,High,67,Monday 10:00-11:00 slot for B scheme
SLOT05044,Monday,11:00,12:00,60,B,Campus-15B,Morning Session,"B31, B32, B33, B34, B35, B36",7,High,High Demand,Peak Availability,False,False,False,True,False,Available,High,84,Monday 11:00-12:00 slot for B scheme
SLOT05045,Monday,12:00,13:00,60,B,Campus-15B,Morning Session,"B31, B32, B33, B34, B35, B36",7,High,High Demand,Peak Availability,False,True,False,True,True,Available,Very High,65,Monday 12:00-13:00 slot for B scheme
SLOT05046,Monday,13:00,14:00,60,B,Campus-15B,Afternoon Session,"B31, B32, B33, B34, B35, B36",7,High,High Demand,Peak Availability,False,False,False,True,True,Available,Very High,95,Monday 13:00-14:00 slot for B scheme
SLOT05047,Monday,14:00,15:00,60,B,Campus-15B,Afternoon Session,"B31, B32, B33, B34, B35, B36",7,High,High Demand,Peak Availability,False,False,True,True,True,Available,Very High,78,Monday 14:00-15:00 slot for B scheme
SLOT05048,Monday,15:00,16:00,60,B,Campus-15B,Afternoon Session,"B31, B32, B33, B34, B35, B36",7,High,High Demand,Peak Availability,False,False,False,True,False,Available,Medium,83,Monday 15:00-16:00 slot for B scheme
SLOT05049,Monday,16:00,17:00,60,B,Campus-15B,Afternoon Session,"B31, B32, B33, B34, B35, B36",7,Low,Moderate,Peak Availability,False,False,False,True,False,Available,Low,72,Monday 16:00-17:00 slot for B scheme
SLOT05050,Monday,17:00,18:00,60,B,Campus-15B,Afternoon Session,"B31, B32, B33, B34, B35, B36",5,Low,Moderate,Limited Availability,False,False,False,False,False,Available,Low,64,Monday 17:00-18:00 slot for B scheme
SLOT05051,Monday,08:00,09:00,60,B,Campus-8,Morning Session,"B13, B14, B15, B16, B17, B18",4,Low,Moderate,Limited Availability,False,False,False,False,False,Available,Low,62,Monday 08:00-09:00 slot for B scheme
SLOT05052,Monday,09:00,10:00,60,B,Campus-8,Morning Session,"B13, B14, B15, B16, B17, B18",4,High,Moderate,Limited Availability,False,False,False,False,False,Available,Medium,74,Monday 09:00-10:00 slot for B scheme
SLOT05053,Monday,10:00,11:00,60,B,Campus-8,Morning Session,"B13, B14, B15, B16, B17, B18",6,High,High Demand,Peak Availability,False,False,False,True,False,Available,High,78,Monday 10:00-11:00 slot for B scheme
SLOT05054,Monday,11:00,12:00,60,B,Campus-8,Morning Session,"B13, B14, B15, B16, B17, B18",6,High,High Demand,Peak Availability,False,False,False,True,False,Available,High,65,Monday 11:00-12:00 slot for B scheme
SLOT05055,Monday,12:00,13:00,60,B,Campus-8,Morning Session,"B13, B14, B15, B16, B17, B18",6,High,High Demand,Peak Availability,False,True,False,True,True,Available,Very High,74,Monday 12:00-13:00 slot for B scheme
SLOT05056,Monday,13:00,14:00,60,B,Campus-8,Afternoon Session,"B13, B14, B15, B16, B17, B18",6,High,High Demand,Peak Availability,False,False,False,True,True,Available,Very High,66,Monday 13:00-14:00 slot for B scheme
SLOT05057,Monday,14:00,15:00,60,B,Campus-8,Afternoon Session,"B13, B14, B15, B16, B17, B18",6,High,High Demand,Peak Availability,False,False,True,True,True,Available,Very High,84,Monday 14:00-15:00 slot for B scheme
SLOT05058,Monday,15:00,16:00,60,B,Campus-8,Afternoon Session,"B13, B14, B15, B16, B17, B18",6,High,High Demand,Peak Availability,False,False,False,True,False,Available,Medium,77,Monday 15:00-16:00 slot for B scheme
SLOT05059,Monday,16:00,17:00,60,B,Campus-8,Afternoon Session,"B13, B14, B15, B16, B17, B18",6,Low,Moderate,Peak Availability,False,False,False,True,False,Available,Low,89,Monday 16:00-17:00 slot for B scheme
SLOT05060,Monday,17:00,18:00,60,B,Campus-8,Afternoon Session,"B13, B14, B15, B16, B17, B18",4,Low,Moderate,Limited Availability,False,False,False,False,False,Available,Low,83,Monday 17:00-18:00 slot for B scheme
SLOT05061,Tuesday,08:00,09:00,60,A,Campus-3,Morning Session,"A01, A02, A03, A04, A05, A06",6,Low,Moderate,Peak Availability,False,False,False,False,False,Available,Low,70,Tuesday 08:00-09:00 slot for A scheme
SLOT05062,Tuesday,09:00,10:00,60,A,Campus-3,Morning Session,"A01, A02, A03, A04, A05, A06",6,High,Moderate,Peak Availability,False,False,False,False,False,Available,Medium,83,Tuesday 09:00-10:00 slot for A scheme
SLOT05063,Tuesday,10:00,11:00,60,A,Campus-3,Morning Session,"A01, A02, A03, A04, A05, A06",8,High,High Demand,Peak Availability,False,False,False,True,False,Available,Medium,82,Tuesday 10:00-11:00 slot for A scheme
SLOT05064,Tuesday,11:00,12:00,60,A,Campus-3,Morning Session,"A01, A02, A03, A04, A05, A06",8,High,High Demand,Peak Availability,False,False,False,True,False,Available,Medium,73,Tuesday 11:00-12:00 slot for A scheme
SLOT05065,Tuesday,12:00,13:00,60,A,Campus-3,Morning Session,"A01, A02, A03, A04, A05, A06",8,High,High Demand,Peak Availability,False,True,False,True,True,Available,Very High,77,Tuesday 12:00-13:00 slot for A scheme
SLOT05066,Tuesday,13:00,14:00,60,A,Campus-3,Afternoon Session,"A01, A02, A03, A04, A05, A06",8,High,High Demand,Peak Availability,False,False,False,True,True,Available,Very High,64,Tuesday 13:00-14:00 slot for A scheme
SLOT05067,Tuesday,14:00,15:00,60,A,Campus-3,Afternoon Session,"A01, A02, A03, A04, A05, A06",8,High,High Demand,Peak Availability,False,False,True,True,True,Available,Very High,70,Tuesday 14:00-15:00 slot for A scheme
SLOT05068,Tuesday,15:00,16:00,60,A,Campus-3,Afternoon Session,"A01, A02, A03, A04, A05, A06",8,High,High Demand,Limited Availability,False,False,False,True,False,Available,Medium,94,Tuesday 15:00-16:00 slot for A scheme
SLOT05069,Tuesday,16:00,17:00,60,A,Campus-3,Afternoon Session,"A01, A02, A03, A04, A05, A06",8,Low,Moderate,Limited Availability,False,False,False,True,False,Available,Low,75,Tuesday 16:00-17:00 slot for A scheme
SLOT05070,Tuesday,17:00,18:00,60,A,Campus-3,Afternoon Session,"A01, A02, A03, A04, A05, A06",6,Low,Moderate,Limited Availability,False,False,False,False,False,Available,Low,70,Tuesday 17:00-18:00 slot for A scheme
SLOT05071,Tuesday,08:00,09:00,60,A,Campus-15B,Morning Session,"A31, A32, A33, A34, A35, A36",5,Low,Moderate,Peak Availability,False,False,False,False,False,Available,Low,89,Tuesday 08:00-09:00 slot for A scheme
SLOT05072,Tuesday,09:00,10:00,60,A,Campus-15B,Morning Session,"A31, A32, A33, A34, A35, A36",5,High,Moderate,Peak Availability,False,False,False,False,False,Available,Medium,84,Tuesday 09:00-10:00 slot for A scheme
SLOT05073,Tuesday,10:00,11:00,60,A,Campus-15B,Morning Session,"A31, A32, A33, A34, A35, A36",7,High,High Demand,Peak Availability,False,False,False,True,False,Available,Medium,77,Tuesday 10:00-11:00 slot for A scheme
SLOT05074,Tuesday,11:00,12:00,60,A,Campus-15B,Morning Session,"A31, A32, A33, A34, A35, A36",7,High,High Demand,Peak Availability,False,False,False,True,False,Available,Medium,95,Tuesday 11:00-12:00 slot for A scheme
SLOT05075,Tuesday,12:00,13:00,60,A,Campus-15B,Morning Session,"A31, A32, A33, A34, A35, A36",7,High,High Demand,Peak Availability,False,True,False,True,True,Available,Very High,74,Tuesday 12:00-13:00 slot for A scheme
SLOT05076,Tuesday,13:00,14:00,60,A,Campus-15B,Afternoon Session,"A31, A32, A33, A34, A35, A36",7,High,High Demand,Peak Availability,False,False,False,True,True,Available,Very High,80,Tuesday 13:00-14:00 slot for A scheme
SLOT05077,Tuesday,14:00,15:00,60,A,Campus-15B,Afternoon Session,"A31, A32, A33, A34, A35, A36",7,High,High Demand,Peak Availability,False,False,True,True,True,Available,Very High,63,Tuesday 14:00-15:00 slot for A scheme
SLOT05078,Tuesday,15:00,16:00,60,A,Campus-15B,Afternoon Session,"A31, A32, A33, A34, A35, A36",7,High,High Demand,Limited Availability,False,False,False,True,False,Available,Medium,74,Tuesday 15:00-16:00 slot for A scheme
SLOT05079,Tuesday,16:00,17:00,60,A,Campus-15B,Afternoon Session,"A31, A32, A33, A34, A35, A36",7,Low,Moderate,Limited Availability,False,False,False,True,False,Available,Low,62,Tuesday 16:00-17:00 slot for A scheme
SLOT05080,Tuesday,17:00,18:00,60,A,Campus-15B,Afternoon Session,"A31, A32, A33, A34, A35, A36",5,Low,Moderate,Limited Availability,False,False,False,False,False,Available,Low,80,Tuesday 17:00-18:00 slot for A scheme
SLOT05081,Tuesday,08:00,09:00,60,A,Campus-8,Morning Session,"A13, A14, A15, A16, A17, A18",4,Low,Moderate,Peak Availability,False,False,False,False,False,Available,Low,85,Tuesday 08:00-09:00 slot for A scheme
SLOT05082,Tuesday,09:00,10:00,60,A,Campus-8,Morning Session,"A13, A14, A15, A16, A17, A18",4,High,Moderate,Peak Availability,False,False,False,False,False,Available,Medium,77,Tuesday 09:00-10:00 slot for A scheme
SLOT05083,Tuesday,10:00,11:00,60,A,Campus-8,Morning Session,"A13, A14, A15, A16, A17, A18",6,High,High Demand,Peak Availability,False,False,False,True,False,Available,Medium,64,Tuesday 10:00-11:00 slot for A scheme
SLOT05084,Tuesday,11:00,12:00,60,A,Campus-8,Morning Session,"A13, A14, A15, A16, A17, A18",6,High,High Demand,Peak Availability,False,False,False,True,False,Available,Medium,73,Tuesday 11:00-12:00 slot for A scheme
SLOT05085,Tuesday,12:00,13:00,60,A,Campus-8,Morning Session,"A13, A14, A15, A16, A17, A18",6,High,High Demand,Peak Availability,False,True,False,True,True,Available,Very High,80,Tuesday 12:00-13:00 slot for A scheme
SLOT05086,Tuesday,13:00,14:00,60,A,Campus-8,Afternoon Session,"A13, A14, A15, A16, A17, A18",6,High,High Demand,Peak Availability,False,False,False,True,True,Available,Very High,73,Tuesday 13:00-14:00 slot for A scheme
SLOT05087,Tuesday,14:00,15:00,60,A,Campus-8,Afternoon Session,"A13, A14, A15, A16, A17, A18",6,High,High Demand,Peak Availability,False,False,True,True,True,Available,Very High,91,Tuesday 14:00-15:00 slot for A scheme
SLOT05088,Tuesday,15:00,16:00,60,A,Campus-8,Afternoon Session,"A13, A14, A15, A16, A17, A18",6,High,High Demand,Limited Availability,False,False,False,True,False,Available,Medium,85,Tuesday 15:00-16:00 slot for A scheme
SLOT05089,Tuesday,16:00,17:00,60,A,Campus-8,Afternoon Session,"A13, A14, A15, A16, A17, A18",6,Low,Moderate,Limited Availability,False,False,False,True,False,Available,Low,89,Tuesday 16:00-17:00 slot for A scheme
SLOT05090,Tuesday,17:00,18:00,60,A,Campus-8,Afternoon Session,"A13, A14, A15, A16, A17, A18",4,Low,Moderate,Limited Availability,False,False,False,False,False,Available,Low,69,Tuesday 17:00-18:00 slot for A scheme
SLOT05091,Tuesday,08:00,09:00,60,B,Campus-3,Morning Session,"B01, B02, B03, B04, B05, B06",6,Low,Moderate,Limited Availability,False,False,False,False,False,Available,Low,76,Tuesday 08:00-09:00 slot for B scheme
SLOT05092,Tuesday,09:00,10:00,60,B,Campus-3,Morning Session,"B01, B02, B03, B04, B05, B06",6,High,Moderate,Limited Availability,False,False,False,False,False,Available,Medium,68,Tuesday 09:00-10:00 slot for B scheme
SLOT05093,Tuesday,10:00,11:00,60,B,Campus-3,Morning Session,"B01, B02, B03, B04, B05, B06",8,High,High Demand,Peak Availability,False,False,False,True,False,Available,Medium,75,Tuesday 10:00-11:00 slot for B scheme
SLOT05094,Tuesday,11:00,12:00,60,B,Campus-3,Morning Session,"B01, B02, B03, B04, B05, B06",8,High,High Demand,Peak Availability,False,False,False,True,False,Available,Medium,95,Tuesday 11:00-12:00 slot for B scheme
SLOT05095,Tuesday,12:00,13:00,60,B,Campus-3,Morning Session,"B01, B02, B03, B04, B05, B06",8,High,High Demand,Peak Availability,False,True,False,True,True,Available,Very High,94,Tuesday 12:00-13:00 slot for B scheme
SLOT05096,Tuesday,13:00,14:00,60,B,Campus-3,Afternoon Session,"B01, B02, B03, B04, B05, B06",8,High,High Demand,Peak Availability,False,False,False,True,True,Available,Very High,76,Tuesday 13:00-14:00 slot for B scheme
SLOT05097,Tuesday,14:00,15:00,60,B,Campus-3,Afternoon Session,"B01, B02, B03, B04, B05, B06",8,High,High Demand,Peak Availability,False,False,True,True,True,Available,Very High,87,Tuesday 14:00-15:00 slot for B scheme
SLOT05098,Tuesday,15:00,16:00,60,B,Campus-3,Afternoon Session,"B01, B02, B03, B04, B05, B06",8,High,High Demand,Peak Availability,False,False,False,True,False,Available,Medium,85,Tuesday 15:00-16:00 slot for B scheme
SLOT05099,Tuesday,16:00,17:00,60,B,Campus-3,Afternoon Session,"B01, B02, B03, B04, B05, B06",8,Low,Moderate,Peak Availability,False,False,False,True,False,Available,Low,83,Tuesday 16:00-17:00 slot for B scheme
SLOT05100,Tuesday,17:00,18:00,60,B,Campus-3,Afternoon Session,"B01, B02, B03, B04, B05, B06",6,Low,Moderate,Limited Availability,False,False,False,False,False,Available,Low,74,Tuesday 17:00-18:00 slot for B scheme
SLOT05101,Tuesday,08:00,09:00,60,B,Campus-15B,Morning Session,"B31, B32, B33, B34, B35, B36",5,Low,Moderate,Limited Availability,False,False,False,False,False,Available,Low,68,Tuesday 08:00-09:00 slot for B scheme
SLOT05102,Tuesday,09:00,10:00,60,B,Campus-15B,Morning Session,"B31, B32, B33, B34, B35, B36",5,High,Moderate,Limited Availability,False,False,False,False,False,Available,Medium,92,Tuesday 09:00-10:00 slot for B scheme
SLOT05103,Tuesday,10:00,11:00,60,B,Campus-15B,Morning Session,"B31, B32, B33, B34, B35, B36",7,High,High Demand,Peak Availability,False,False,False,True,False,Available,Medium,91,Tuesday 10:00-11:00 slot for B scheme
SLOT05104,Tuesday,11:00,12:00,60,B,Campus-15B,Morning Session,"B31, B32, B33, B34, B35, B36",7,High,High Demand,Peak Availability,False,False,False,True,False,Available,Medium,65,Tuesday 11:00-12:00 slot for B scheme
SLOT05105,Tuesday,12:00,13:00,60,B,Campus-15B,Morning Session,"B31, B32, B33, B34, B35, B36",7,High,High Demand,Peak Availability,False,True,False,True,True,Available,Very High,63,Tuesday 12:00-13:00 slot for B scheme
SLOT05106,Tuesday,13:00,14:00,60,B,Campus-15B,Afternoon Session,"B31, B32, B33, B34, B35, B36",7,High,High Demand,Peak Availability,False,False,False,True,True,Available,Very High,67,Tuesday 13:00-14:00 slot for B scheme
SLOT05107,Tuesday,14:00,15:00,60,B,Campus-15B,Afternoon Session,"B31, B32, B33, B34, B35, B36",7,High,High Demand,Peak Availability,False,False,True,True,True,Available,Very High,69,Tuesday 14:00-15:00 slot for B scheme
SLOT05108,Tuesday,15:00,16:00,60,B,Campus-15B,Afternoon Session,"B31, B32, B33, B34, B35, B36",7,High,High Demand,Peak Availability,False,False,False,True,False,Available,Medium,70,Tuesday 15:00-16:00 slot for B scheme
SLOT05109,Tuesday,16:00,17:00,60,B,Campus-15B,Afternoon Session,"B31, B32, B33, B34, B35, B36",7,Low,Moderate,Peak Availability,False,False,False,True,False,Available,Low,87,Tuesday 16:00-17:00 slot for B scheme
SLOT05110,Tuesday,17:00,18:00,60,B,Campus-15B,Afternoon Session,"B31, B32, B33, B34, B35, B36",5,Low,Moderate,Limited Availability,False,False,False,False,False,Available,Low,64,Tuesday 17:00-18:00 slot for B scheme
SLOT05111,Tuesday,08:00,09:00,60,B,Campus-8,Morning Session,"B13, B14, B15, B16, B17, B18",4,Low,Moderate,Limited Availability,False,False,False,False,False,Available,Low,84,Tuesday 08:00-09:00 slot for B scheme
SLOT05112,Tuesday,09:00,10:00,60,B,Campus-8,Morning Session,"B13, B14, B15, B16, B17, B18",4,High,Moderate,Limited Availability,False,False,False,False,False,Available,Medium,84,Tuesday 09:00-10:00 slot for B scheme
SLOT05113,Tuesday,10:00,11:00,60,B,Campus-8,Morning Session,"B13, B14, B15, B16, B17, B18",6,High,High Demand,Peak Availability,False,False,False,True,False,Available,Medium,89,Tuesday 10:00-11:00 slot for B scheme
SLOT05114,Tuesday,11:00,12:00,60,B,Campus-8,Morning Session,"B13, B14, B15, B16, B17, B18",6,High,High Demand,Peak Availability,False,False,False,True,False,Available,Medium,93,Tuesday 11:00-12:00 slot for B scheme
SLOT05115,Tuesday,12:00,13:00,60,B,Campus-8,Morning Session,"B13, B14, B15, B16, B17, B18",6,High,High Demand,Peak Availability,False,True,False,True,True,Available,Very High,76,Tuesday 12:00-13:00 slot for B scheme
SLOT05116,Tuesday,13:00,14:00,60,B,Campus-8,Afternoon Session,"B13, B14, B15, B16, B17, B18",6,High,High Demand,Peak Availability,False,False,False,True,True,Available,Very High,95,Tuesday 13:00-14:00 slot for B scheme
SLOT05117,Tuesday,14:00,15:00,60,B,Campus-8,Afternoon Session,"B13, B14, B15, B16, B17, B18",6,High,High Demand,Peak Availability,False,False,True,True,True,Available,Very High,60,Tuesday 14:00-15:00 slot for B scheme
SLOT05118,Tuesday,15:00,16:00,60,B,Campus-8,Afternoon Session,"B13, B14, B15, B16, B17, B18",6,High,High Demand,Peak Availability,False,False,False,True,False,Available,Medium,67,Tuesday 15:00-16:00 slot for B scheme
SLOT05119,Tuesday,16:00,17:00,60,B,Campus-8,Afternoon Session,"B13, B14, B15, B16, B17, B18",6,Low,Moderate,Peak Availability,False,False,False,True,False,Available,Low,94,Tuesday 16:00-17:00 slot for B scheme
SLOT05120,Tuesday,17:00,18:00,60,B,Campus-8,Afternoon Session,"B13, B14, B15, B16, B17, B18",4,Low,Moderate,Limited Availability,False,False,False,False,False,Available,Low,77,Tuesday 17:00-18:00 slot for B scheme
SLOT05121,Wednesday,08:00,09:00,60,A,Campus-3,Morning Session,"A01, A02, A03, A04, A05, A06",6,Low,Moderate,Peak Availability,False,False,False,False,False,Available,Low,81,Wednesday 08:00-09:00 slot for A scheme
SLOT05122,Wednesday,09:00,10:00,60,A,Campus-3,Morning Session,"A01, A02, A03, A04, A05, A06",6,High,Moderate,Peak Availability,False,False,False,False,False,Available,Medium,67,Wednesday 09:00-10:00 slot for A scheme
